vert1_id,vert2_id,message_text,SKI,MKI,DKI,SKC,MKC,DKC,week,is_reply,participatory_role
F,R,"R, I was able to see your Prezi using the link. I find it very easy to understand--it represents a lot of information in a way that I can digest easily, and I appreciate that. Also, it's pretty. I find it especially relevant that the two arms of your definition feed into the social constructivist circle because the idea that we create learning together as a social activity seems to lie at the center of why we need community in an online course. Thanks for your hard work",0,0,0,0,1,0,Week 02,0,Starter
R,F,"Thanks for your feedback, F. I like your description-- two arms :)Thanks for your feedback, F. I like your description-- two arms :)",0,0,0,1,0,0,Week 02,0,Leader
D,R,"Yup, I can't agree with you more that those used as platforms to deliver teaching materials by instructors are not online learning community",0,0,0,1,0,0,Week 02,0,Peripheral
S,R,"Thank you, R, for the Prezi - it really lays out the elements clearly for me",0,0,0,1,0,0,Week 02,0,Influencer
B,ins,"As I reflect on the idea of community, think about the reading in chapter 1, and the information that I found online, is the fact that the ideas around and the definition of community has made many changes in the past several years. _My first thought on ""community"" sent me to my childhood neighborhood. _A place where a group of people lived and interacted together. _Merriam and Webster define community as ""a group of people who live in the same area, a group of people who have the same interest, religion or race"". _This definition I would say has been the main idea of community for decades. However, now we have a new and modern idea of something called the ""Virtual Community"". _The internet has taken the idea of living in the same area away. _Now we are able to be a part of a community regardless of our location. _I have been part of an online community for the past three years here at the University. _During my first year it was a time of intense learning. _I was not used to the online learning tools, and it took me a while to feel confident in myself as a learner. _Chapter one did a nice job of laying out what it takes to be successful with online communities. _At first, I had a hard time trusting myself to be able to complete the work without the instructor on hand. _I also had to develop a game plan for myself as much of the learning and time frame is based on your time line. _After three years of being a part of the online community. _I feel that I know what I am doing. _I am willing to put myself out their in my posts and willing to share my ideas with the class and the instructor. What I love about online communities is that it bring together a group of people who may never have connected. _I also love online communities because I am able to work at my own pace when it works for me. _It is fun to see what others are doing and thinking about in posts and chats. _This to me is why I believe that online communities are so important. _I have been amazed how much I have learned in the past three years and all the great people that I have been in a ""community"" with.",0,1,2,0,0,0,Week 02,1,Leader
R,B,"Hi, B. I am totally agree with your points. Sharing and chatting in online community is fun, and we at the same time could learn something or reflect on our previous thoughts, experiences",0,0,0,0,1,0,Week 02,0,Leader
C,B,"Hi B - I really like your comment,""What I love about online communities is that it bring together a group of people who may never have connected."" This is a key component to an online learning environment and provides a great framework to build a strong community in that it allows members to bring forward their own experiences and relate them to others in the course/community",0,0,0,0,1,0,Week 02,0,Starter
F,B,"Hi, B and C,I agree! Your line about a group of people who may never have connected resonated with me, as well. I think what I have enjoyed most about online social media as I have wandered through it more or less consciously roe deliberately over the years, is that I have encountered so many people with so many varied perspectives that I'm ought never have gotten to know--almost certainly would not have gotten to know--any other way. My worldview has definitely expanded as a result,",0,0,0,0,0,1,Week 02,0,Starter
A,B,"Hi B,I like your discussion of how the definition of ""community"" has evolved. I also really like your point about one of the benefits of online communities, which is bringing together a group of people that may never have come together.Thanks!",0,0,0,1,0,0,Week 02,0,Influencer
G,B,"B - I agree with you about community in the neighborhood sense. That was my first intro to community when I was growing up as well. I am new to formal online learning, but I've been hanging out in social media spaces for a few years now, and finally feel like I am getting the hang of interacting in those kinds of communities. It definitely takes a while to learn how to interact online.Have you found other online learning communities that have been helpful as you've been going through the program?",0,0,0,1,1,0,Week 02,0,Starter
B,G,The only other community has been through Moodle and it has some of the same features as Ning.  I had never done a Voicethread and that was something fun to try.  Also online intros have been new.  I think that these pieces have been really interesting to be able to put a name with a face and have made me feel more connected early on to the group,0,0,0,0,1,0,Week 02,0,Leader
R,B,"Hi B, in my opinion, Moodle is course management system while Ning is more like social networking site :)",0,0,0,0,1,0,Week 02,0,Leader
H,B,"It is crazy sometimes to think of ""virtual community"" _we have come so far with technology.I recall my first online class and I hated it. _I was soooooo scared of not clicking the right area, or I was missing a site to visit. _I would get frustrated and need a teacher right now!!!I am now in my last stretch of Master degree and I stayed with online classes (all). _I am enjoying the community in-which I live in as a student. _This is my second time in Ning, and I am enjoying this site as much as the others.... _You move fast, but it keeps the learning fun and to the point!",0,0,0,0,1,0,Week 02,0,Mediator
E,ins,"When I think about defining online community, I think about how I as a program evaluator would think about it as an intervention in learning and what that may ""look like"". I reviewed a few published studies that evaluated different online communities (learning and professional). _The online communities that ""succeeded"" by some measure included these aspects: high engagement (measured by frequency of participation, depth of participation, or particular participation patterns), shared sense of vision (in most cases this was centered on a particular aspect of learning), _and sense of belonging or community loyalty (self report paired with measures of participation). The studies also discussed motivations such as relevance of knowledge sharing in community and perceived advantage of belonging and participating. The studies also either measured or discussed the role of self efficacy in fostering engagement. Participants needed to be confident enough in their own ability to share knowledge to be engaged.In a learning community it seems like it would be important to figure out what strengths different members bring to the table, scaffold discussions so that varied expertise is valued, and establish the trust among members early and consistently. I liked the ""Building Online Learning Communities' reference to conscious community - the need for personal growth and transformation as part of that definition.The other piece that seemed missing from the studies I found was thinking about the role of discourse in building knowledge or learning in the community. It was perhaps implicit in the different measures of weblogs aItics from these studies but that seems to miss the constructivist thinking that R described in Prezi.Thinking about the definition makes me realize the challenges of thinking about evaluation with respect to online communities.",1,2,0,0,0,0,Week 02,1,Influencer
C,E,"Great points, E. Figuring out strengths with one another is definitely a challenge, and with such little time (15 weeks) for a semester, it's not always easy to determine those. But, I like your ideas of scaffolding discussions to help build in different levels of expertise. Thanks!",0,0,0,1,1,0,Week 02,0,Starter
B,E,"E- I really like that you pointed out in order for online communities to be successful you need high engagement.  I think sometimes people think online classes are ""easy"".  However, if you are going to do them right and be successful you really need to be engaged and spend a lot of time participating in the community",0,0,0,0,1,0,Week 02,0,Leader
I,ins,"I envision ""online community"" as a place where people of all kind from all over the world comes together online to work and or learn together. Online communities occur when individuals come together for a sense of purpose. I would say that our class on this Ning website is an example of an online community. We come together and engage in conversations to enhance our learning and understanding. Slowly we become comfortable with one another so that the space shared in our online community is a safe place. We all have a common interest in choosing this class and taking this class. Each person may have a different reason for taking this class as we stated in our voicethreads the first week of class, but we had the option to come together to take this class and share the space here. I envision online learning communities as a place where people could freely express their self and keep an open mind to what they would like to share with other people within the community.",0,1,1,0,0,0,Week 02,1,Mediator
J,I,"I, I definitely agree that an online learning community should be a place where people can express freely and keep an open mind to other people's opinions. I think sometimes this can be a little harder in an online class because when people are having a discussion you are only ever reading their responses. You are not able to read someone's body language and other things that people take advantage of when they are face to face. But if everyone is open minded I think people's differences in opinions can be amazing in an online learning community because it gets everyone thinking.",0,0,0,0,1,0,Week 02,0,Regular
I,J,"J, _I agree with you, it is definitely harder to express yourself through an online class since you don't get to hear how each person verbally contributes. I would say the pro of having online classes would be being able to see those who are quieter in a typical lecture classroom engaging and expressing their thoughts and opinions.",0,0,0,0,0,1,Week 02,0,Mediator
B,I,I- I agree I think this class is going to be a really good online community.  I really liked the voicethreads that we did the first week as this activity really gave us a better understanding about the members of the group.  This is my fist time using Ning- but so far I think it is going to be a really neat tool to use in this community,0,0,0,0,1,0,Week 02,0,Leader
H,I,"I too would agree this will be a great online community with structure, entertainment, variety of learning opportunities....I also feel many programs are turning to online connections that will hopefully amount to a successful online community. _Programs that are spread out over distance may have to save money and start building resources around internet. _some of the personalized one on one may get lost in the mix, but as we are learning there are so many ways to ""see"" classmates or co-workers and also when you become familiar with online, you can eventually begin to ""read"" body language. _I know I can tell when someone is ready to debate a subject _... yikes _:) _its all good....",0,0,0,1,0,1,Week 02,0,Mediator
I,H,"I would agree with what you said. It's definitely successful to have online communities and classes. Last semester I had a student from the Duluth campus as a group member for an online class. I was quite shocked, but at the same time, when I thought about it, I liked the idea of having classmates from different campuses as well",0,0,0,0,1,0,Week 02,0,Mediator
K,ins,"I define ""online community"" as a place where people from all over engages in some type of online work whether it is for some type of service or just for to connect with others in the world. Wikipedia stated that online community can be an information system whether people can post up information whether if it is open to everyone to post or private to only a few certain people able to post. The other big form of of online community is a form of communication for people. Communities would either be more like a blogging pages or social media sites like Facebook. As stated above it would feel like the online communities would mainly be used to connect with people or used as a source to give out information and find information. Online learning communities help bond people together who may not know each other before. For example, online classes at the University of Minnesota help colleagues like us bond together. It's a shared place where we all come together and learn more about one another through our interactions. There's a sense of ""purpose"" that each online community hold. The ""purpose"" of each online community varies depending on the structure of the community.",0,2,1,0,0,0,Week 02,1,Peripheral
L,K,"Hi K! - I agree with you that an online community can be many different types such as facebook, online search engines and blogging type sites.  I think that it is interesting that we can create relationships and think collaboratively with others over many different types of online communities.  There is definitely a sense of purpose that each different online community has to offer",0,0,0,0,1,0,Week 02,0,Regular
I,K,"K,I agree that each online community has their own purpose to it. At first when I thought about online communities, I thought they were all similar and ""what's the purpose of having Facebook when it's just like Myspace?"" always comes to my mind. However, after thinking it through, they may both be generally the same, a place for social networking, but Facebook is more about being able to browse through what your friends wish to share and to comment on it, while Myspace is more about conversations on each other's Myspace page",0,0,0,0,1,0,Week 02,0,Mediator
H,ins,"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",1,1,2,0,0,0,Week 02,1,Mediator
M,H,"H,You bring up an interesting point about the ""what's on your mind"" talk. _It seems like in an online discussion we can stay so focused on topic that we miss the side conversations you would have in a f-2-f class. _As a teacher, I often build in that side chatter time into my groups simply because I know that their talking about stress of a deadline or if someone caught the latest episode of some TV show matters. _It matters because they are learning about each other, what their interests are and ultimately learning to trust one another. _I think Instructor has built this in with the chat, the blogs, and not completely dictating this discussion. _Thanks for bringing this up - I think it's way more important than we give credit for.",0,0,0,0,1,0,Week 02,0,Influencer
C,ins,"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",1,2,0,0,0,0,Week 02,1,Starter
H,C,"This is so very true...Reading your post and hearing you say how important community is and how it allows members to create a sense of ownership and connection to others. _I am not an online instructor(yet), but I can only imagine how this type of ongoing dialogue can give good feedback to instructors. _They can learn from us as much as we are learning from each other.This also makes me think of the movie that is out, Her. (I think that is the name) _Where a man talks to his computer all day everyday because he has build a relationship with ""her"". _A bit much for me, but to someone who may live alone, I can see it being beneficial. _Our communication keeps this class interesting..",0,0,0,1,1,0,Week 02,0,Mediator
G,ins,"Link to mind map Hi all,I created a mind map of some early thoughts about online communities. It'll be interesting to see how it progresses over the semester. I could not get the embed or other nifty bits of code to work - but I will give it another go tomorrow when I'm on a PC (sometimes this Chromebook has odd compatibility issues with some applications).",0,0,2,0,0,0,Week 02,1,Starter
B,G,G- I was able to see you mind map.  That was really cool.  I really like the four main points that you webbed from.  Active and contribute were the ones that really hit me as so important for a success online community.  Thank you for showing me something new.,0,0,0,0,1,0,Week 02,0,Leader
E,G,"G,I liked that your mind map had the ""lurker"" and ""contributer"" as participants/presence. What does it take to make someone move from lurker to contributor in an online community?",0,0,0,1,0,0,Week 02,0,Influencer
G,E,"hmmm...good question, E! I'm not entirely sure how someone would move from lurker to contributer...maybe someone else in the community personally reached out to that person and contacted/talked to him/her - that interaction might prompt that person to then interact in more ways in the community, or with additional community members. Just some thoughts off the top of my head. Does anyone else have ideas with this? I'm curious too..",0,0,0,0,1,0,Week 02,0,Starter
F,G,"I wish I could see your mind map, G! It sounds interesting. One thing that may move a person from lurker to participant is becoming more knowledgeable, either about the community and its norms (because it's someone who has arrived recently and wants to find out what it's like there) or about the subject matter. If I'm coming in cold, I like to suss out a group a bit before I participate. In a class like this, there's a context and expectations established by the facilitator, but in a more open online community, I would probably hang out awhile without talking",0,0,0,0,0,1,Week 02,0,Starter
J,ins,"When I first think about community I immediately go to community in a classroom. As a future elementary education teacher this is something we talk about often in our classes. We want to create a community for our students where they can feel safe and comfortable but also where they are able to expand their knowledge as students and as individuals. When I think about an online learning community I think these same values are important. People need to be able to feel safe and comfortable to express their opinions without feeling as though they are going to be attacked if their opinions aren't the same as everyone else's. That being said if everyone is open minded to other's opinions online learning communities are great because you get to work with people and learn about their opinions and views. I like this because most of the time I work with elementary education students and we often have the same views on things, so it is nice to be able to work with people who may have views different than my own. ",0,0,1,0,0,0,Week 02,1,Regular
L,J,"Hi J! - I agree with you and have the same idea about creating a safe and interactive community in the classroom.  Even if the community is build upon interactive ways online I agree that we can use similar strategies in order to be successful.  Keeping an open mind and listening to what others have to say about certain topics is vital and good practice for future jobs, relationships and learning experiences.",0,0,0,0,1,0,Week 02,0,Regular
L,ins,"For this discussion post I chose to create a bubble map. _I believe that an online community includes connecting with others, the initial experience and engagement with the participants and benefits to the online community. _Above in the bubble map I decided to break each category up.Online communities are very similar to communities in the classroom. _For example, I am an elementary education major and one of my main goals as a future educator is to create a safe and collaborative learning community in my classroom, from peer to peer and teacher to peers. _I want everyone to feel comfortable sharing and have the opportunity to support one another and team together in order to have a successful learning experience. _Going off of this idea in the classroom - online communities are no different. _Online communities may seem harder to collaborate via the internet (no face to face time) and because of this it is extremely important for all participants to be committed and willing to think outside the box while collaborating online.",0,0,2,0,0,0,Week 02,1,Regular
A,L,What a great way to express your view of an online community. Very creative!,0,0,0,1,0,0,Week 02,0,Influencer
J,L,"Hi L, What a great bubble map you created! I definitely agree that it may be harder for collaboration to happen in online classes because there is no face to face time and people must be willing to put in the effort for the class. But I definitely think that collaboration can happen in online classes if everyone is willing to put in the work. ",0,0,0,0,1,0,Week 02,0,Regular
N,ins,"An online leaning community is a destination on the Internet where where the needs of members are addressed through individual-to-individual sharing of knowledge and information (Online learning community, Wikipedia). Such a community is aimed at fostering the learning needs of members by using social networking or computer applications such as texts, audio, or video. The literature does not describe a pre-determined look or feel for an online learning community. However, it is important for members to feel a sense of belonging and that their learning needs are addressed by participation.One common example of a learning community is Community of practice, defined as ""a group of people who share a craft and/or a profession"" (Community of practice, Wikipedia). Those who form or belong to a community of practice do so to advance their professional objectives by sharing knowledge related to their particular field or profession.",0,1,1,0,0,0,Week 02,1,Peripheral
E,N,"N,I like thinking about an online community in terms of a community of practice or professional community. I wonder if online communities take on some of the same social norms as their face-to-face counterpart in professions",0,0,0,1,0,0,Week 02,0,Influencer
F,ins,"Based on my experience online and on what I_e read so far, I believe that community is important to the success of online spaces, and especially to the construction of learning online. Social constructivist theory posits that learning is created as a social activity, so it would seem necessary to foster learning through the development of community. And George Siemens theory of connectivity talks about developing and maintaining connections between people as critical to constructing learning. Many of the papers I read for the Intro to LT class described cooperative and transformative learning as needing a high degree of interaction among students and also between students and teachers to succeed. I would like to read more about the relationship between online community development and transformational learning.When an online community really works, perhaps it can draw its participants back inside again and again in the same way as a student hangout (of the brick-and-mortar variety) might_in the same way as the student room in the East Asian Studies department did when I was an undergrad. Maybe it can become the place people want to be for interesting discussion and encouragement and learning. I would like to learn more about ways to construct online spaces that nourish that sort of inviting environment that feels appealing, supportive, and challenging, so that students develop the intrinsic motivation to log on often_to see our friends and colleagues and learn something new from each other.",0,1,1,0,0,0,Week 02,1,Starter
M,F,"Hi F,I am intrigued by your thoughts/comments about drawing participants back inside again and again. _I think about student hangout spaces and it can often start with students simply being in the same grade level or same class so they have this commonality to start with. _But, I think it's more than that. _I think when an instructor creates space in the beginning of his/her classes to let students get to know one another in meaningful ways it pays off dividends in the end. _This involves creating activities or using instructional strategies that ""force"" students to pay attention to one another. _We are experiencing this strategy right this moment! _I can't say the same for other classes I'm taking. _In fact, after one of my classes last week this one person I left at the same time, rode the elevator down 11 flights and we didn't say a peep to one another. _The instructor hasn't set it up for us to get to know one another and I just didn't have it in me to put myself out there. _I didn't have neither the comfort socially nor the content of the course to lean on to start a conversation. _However, even this minimal interaction we are having in this threaded discussion, I know I'd not only feel comfortable talking to you, I'd likely even feel confident enough to initiate it!",0,0,0,1,1,0,Week 02,0,Influencer
F,M,"I feel the same way. We certainly get a lot said in these forums, and I'm really beginning to get a sense of what my classmates are like. Thanks for your feedback!",0,0,0,0,1,0,Week 02,0,Starter
G,M,"Hi M,I have had the same type of experiences in other classes that you described...our instructor did not create time for get to know you type activities. I remember one class in particular when going through those types of activities would have been particularly helpful, as the topic of the semester-long class was race. It was hard to share personal stories, thoughts, etc about a potentially sensitive topic without creating those relationships ahead of time.",0,0,0,0,1,0,Week 02,0,Starter
O,ins,"I definitely agree that an online learning environment has certain advantages in creating _opportunities for connection and learning:- In a physical space, there are restrictions on how many people can interact at one time, whereas in an online environment there aren't really physical limitations for how many people can join. - In an online space both public and private conversations can occur (more or less) simultaneously. In an online space, it is possible to pay attention to the main class discussion and connect with class members individually, in the same span of time, whereas in a f2f class it's rude to have side conversations during a discussion! - An online community affords more breadth and depth in a discussion. There's more breadth because everyone gets to write their response, so we get to hear from everyone's unique perspective. As far as depth, in a spoken conversation, there's a ""flow"", and sometimes things get interrupted, or topics are passed over that could be discussions more deeply. There's more depth with an online conversation board because it's easy to return to past discussions and add more thoughts. Also, when we write text, that makes it much easier to reply exactly to what another person has said. This speaks to what F was saying about an environment that is ""challenging"". In part, an online discussion is challenging because we have so much more breadth and depth in our discussions to contend with.- Online spaces can be appealing - not always in the same ways as physical spaces, but both can be aesthetically appealing. It's usually easier/less expensive to ""remodel"" an online space to better suite its members. Often there's more ""room"" in an online space for members to add their own individuality, like how we can add our personal photos to this group site. I'd like to see us try to do that in a classroom on campus! :-) ",2,0,2,0,0,0,Week 02,1,Regular
F,O,"Yes. I think one of the reasons it can do that is because we communicate in writing, which allows us--especially those of us who are introverted--to consider first, and then respond. We can re-read what has been said and think about the conversation as a whole. We can address a comment to a particular person and take time to acknowledge others' responses to our comments... And it seems to me that we've covered more ground in this thread than we might have in a typical class discussion. So, yes.",0,0,0,0,1,0,Week 02,0,Starter
F,ins,"Here's a simple illustration of the cycle of community building, as it exists in my head at the moment. I'm sure my thoughts will continue to evolve.[insert graphic]",0,0,1,0,0,0,Week 02,1,Starter
G,F,"F,I like this graphic, especially how you included motivation in it. To me that seems to be an important component of online learning, as we need to keep it together and get all our work done :)",0,0,0,0,1,0,Week 02,0,Starter
C,F,"Great illustration; and as you note, it's simplistic! Is the flow in a particular order?",0,0,0,1,0,0,Week 02,0,Starter
F,C,"C, You're asking if there's a starting point? I didn't want there to be, but I suppose it might start with interaction.",0,0,0,0,1,0,Week 02,0,Starter
M,ins,"Hi All,Please forgive me...I went a little crazy in my post! _I promise to keep it more succinct next time.For a number of years I taught online classes both asynchronously and synchronously. _I was never officially trained or educated how to do it, but got lots of advice from colleagues along the way who had been teaching online. _I stumbled a lot and learned a lot. _Some semesters, my online classes were my favorites, students engaged in ways I had never seen in my face-to-face classes. _Other semesters, to be honest, I just couldn_ wait for it to be over. _Reflecting upon my experiences I know that it had a lot to do with building community. _This was the key reason I wanted to take this class. _How do you build effective online communities?In reading the Palloff and Pratt text, there were a few key items that struck me in terms of building community. _Excuse the long quote, but when I read this I couldn_ help but think this is so dang true!There is one important element, however, that sets online distance learning apart from the traditional classroom setting: Key to the learning process are the interactions among students themselves, the interactions between faculty and students, and the collaboration in learning that results from these interactions. _In other words, the formation of a learning community through which knowledge is imparted and meaning is co-created sets the stage for successful learning outcomes. (Palloff and Pratt, 2007, p. 4) I think about the semesters I loathed my online classes and I know they were the semesters that I was frustrated by my students participation or lack thereof. _I was frustrated that they were not contributing at the level I wanted them to. _So_I became a bit of a tyrant, demanding that they do things in a very specific way. _In a face-to-face class teachers can do that more, we can control the conversations that take place, redirect it in a way we want it to go in a very short amount of time. _It only takes the teacher_ questioning or direct comment and everyone hears it all at once and know to move the conversation that way. _This is not true of online threaded discussions because not everyone is there at that precise moment. _But, that_ also the point. _Like the quote says, there is collaboration in the learning, not a teacher dictating how the learning is to take place. _That's what makes it a unique community!Another item from the text that struck me was that successful students in distance education programs are _able to communicate through writing (Palloff and Pratt, 2007, p. 8). I couldn_ help but think that talkers _win in f-2-f classes, but writers _win in online classes. _But, don_ good writers always win? _That is, ultimately in higher education if you are a strong writer no matter f-2-f or online you will come out on top because after all the major assignments always involve writing. _How can we change that dynamic, even just a little, so that more people can win?Finally, I am intrigued by the difference between presence and interaction as described on page 12. _I think about some stories I have read about how people have become actually lonelier or depressed through social media such as Facebook (FB). _In most of these stories the key was that on FB and other social media people are marketing themselves. _That is, they are posting images of themselves on vacation or some other fantastic place because they want to show the world how great their life is. _It_ almost like marketing a product. _If this is true, then wouldn_ that be considered presence, but not true interaction? _As in, the comments below the wonderful picture, _looks like fun, _you look amazing!, etc.? _It seems to me friends are acknowledging presence not truly interacting. _OK, don_ get me wrong, I am just as guilty of this stuff as anyone_I_ just contemplating this idea. In looking for an article that discusses community I found an interesting one: _Developing Online Learning Communities by Mark. A. Maddix in Christian Education Journal (Series 3, Vol. 10, No.1). _I am neither Christian nor religious, but I found this article intriguing because it deals with the idea of larger community values within an individual classroom community. _In Christian universities one of the elements of their teaching is helping young people in the forming and shaping of their faith. _Classes, therefore, are not just about the content (e.g., history, chemistry), but about modeling Christian values and beliefs. _The concern is that in online classes these values and beliefs may not be modeled. _Moreover, some theologians argue that embodiment is key to molding these beliefs and values and physical presence is necessary. _Maddix presents an alternative viewpoint through various research. _Of particular interest to me is John Gresham_ research that argues for a _divine pedagogy or __the pedagogy of the incarnation [that] points to the realm of the student's life experience as the locus of divine saving action (Maddix, p. 142 and Gresham, 2006, p. 26). _In other words, to use Gresham_ language again, _divine pedagogy includes a communal dimension similar to the church, [it] provides active participation of students in the learning process, and is relevant to online education because it is rich in symbols and signs that communicate meaning (Maddix, p. 142 and Gresham 2006, p. 27-28). _I read such statements as a redefining of community or rather we must not assume that we are a community simply because we share similar values and beliefs. _Rather we must continuously build community and allow the actors to be active, challenged, and provide space for difference and growth. _In other words, we can_ just say our community has these values and beliefs and that you will pick them up simply by your presence. _I like this.In sum, then, an online community really needs to be genuine in its efforts to be a community. _We can't just be together in this space, we need to engage in it.",0,1,5,0,0,0,Week 02,1,Influencer
